from,to,relationship
UL	CDU	2
UL	500	1
LK	SPD	2
LK	500	1
LK	503	1
NR	CDU	2
NR	500	1
NR	501	1
SW	Linke	2
SW	500	1
CS	500	1
CL	FDP	2
CL	501	1
KS	501	1
LM	501	1
KD	501	1
EL	501	1
AB  Gruene 2
AB  502 1
FT	502	1
AM  502 1
AGL FDP 2
AGL 502 1
ER  502 1
RH  Gruene 2
RH  503 1
CM  503 1
KP  503 1
RK  CDU 2
RK  503 1 


